node_id,node_index,has_upstream,mean_delta_macro_nse,seed_42_delta_macro_nse,seed_43_delta_macro_nse,seed_44_delta_macro_nse,seed_45_delta_macro_nse,seed_46_delta_macro_nse
40397796,34,False,0.0,0.0,0.0,0.0,0.0,0.0
40398088,35,False,0.0,0.0,0.0,0.0,0.0,0.0
40398747,36,True,0.0078535258769989,0.014003574848175049,0.019412755966186523,-0.0025610029697418213,-0.009575486183166504,0.01798778772354126
40400903,37,False,0.0,0.0,0.0,0.0,0.0,0.0
40403755,38,True,0.0058034067042171955,0.015292268246412277,-0.0024295635521411896,0.019521376118063927,0.0178619222715497,-0.02122896956279874
40404209,39,False,0.0,0.0,0.0,0.0,0.0,0.0
40405170,40,False,0.0,0.0,0.0,0.0,0.0,0.0
40406609,41,False,0.0,0.0,0.0,0.0,0.0,0.0
40406734,42,False,0.0,0.0,0.0,0.0,0.0,0.0
40407142,43,False,0.0,0.0,0.0,0.0,0.0,0.0
40408903,44,True,-0.16204967200756074,-0.037523746490478516,-0.38926962018013,-0.19015328586101532,-0.12695655226707458,-0.06634515523910522
40409700,45,True,0.01577579975128174,0.8585102558135986,-2.047056198120117,0.6122146844863892,-0.38581323623657227,1.0410234928131104
40411223,46,False,0.0,0.0,0.0,0.0,0.0,0.0
40411831,47,True,0.0560041144490242,-0.006161674857139587,-0.1163472905755043,0.1647162288427353,0.07981470227241516,0.15799860656261444
40412305,48,False,0.0,0.0,0.0,0.0,0.0,0.0
40413292,49,False,0.0,0.0,0.0,0.0,0.0,0.0
40415944,50,True,0.1315919816493988,0.07199960947036743,0.08187410235404968,-0.03150969743728638,0.3778441250324249,0.15775176882743835
40421537,51,False,0.0,0.0,0.0,0.0,0.0,0.0
40422863,52,False,0.0,0.0,0.0,0.0,0.0,0.0
40424770,53,False,0.0,0.0,0.0,0.0,0.0,0.0
40425297,54,False,0.0,0.0,0.0,0.0,0.0,0.0
40425302,55,False,0.0,0.0,0.0,0.0,0.0,0.0
40425958,56,False,0.0,0.0,0.0,0.0,0.0,0.0
40426083,57,True,-0.025788743793964387,-0.0038240402936935425,-0.05330637842416763,-0.06849083304405212,-0.007618442177772522,0.004295974969863892
40426345,58,True,0.3329847465269268,1.4626502990722656,-0.14031672477722168,-0.09187118196859956,0.20392394065856934,0.23053739964962006
40426350,59,False,0.0,0.0,0.0,0.0,0.0,0.0
40426613,60,True,0.05358905894681811,0.15525186574086547,0.01190987229347229,-0.011464610695838928,0.12728635966777802,-0.01503819227218628
40426764,61,True,0.04342137314379215,0.0062027983367443085,0.012301504611968994,0.016086818650364876,0.07744774967432022,0.10506799444556236
40426778,62,False,0.0,0.0,0.0,0.0,0.0,0.0
40427681,63,True,-0.03219439452514052,0.12164487177506089,-0.29059307277202606,-0.2410307377576828,0.3773083481937647,-0.12830138206481934
40427820,64,True,0.2479196609929204,0.17648649215698242,0.06140393204987049,0.04013011883944273,0.3521032817661762,0.6094744801521301
40427938,65,True,0.011045432090759278,0.018364012241363525,0.027361810207366943,-0.006196916103363037,0.0008347406983375549,0.0148635134100914
40429280,66,True,0.0035431444644927978,0.0005904436111450195,0.029748141765594482,-0.0026185214519500732,0.002007037401199341,-0.01201137900352478
40430479,67,True,0.0065428480505943295,0.002835676074028015,0.018138088285923004,0.004596009850502014,0.004893675446510315,0.0022507905960083008
40432049,68,False,0.0,0.0,0.0,0.0,0.0,0.0
40433775,69,False,0.0,0.0,0.0,0.0,0.0,0.0
40435989,70,True,0.0013442644849419594,0.004467824473977089,0.001562635414302349,0.008584126830101013,0.002074897289276123,-0.009968161582946777
40436263,71,False,0.0,0.0,0.0,0.0,0.0,0.0
40436957,72,True,0.026590984873473646,0.02108721062541008,0.020172376185655594,0.009986206889152527,0.0398056311532855,0.04190349951386452
40438567,73,True,0.014774622023105621,0.029196813702583313,-0.001048065721988678,0.021268844604492188,0.004488766193389893,0.01996675133705139
40440595,74,True,0.010162153467535972,-0.09967577457427979,0.04901440441608429,0.012919226661324501,0.044947028160095215,0.04360588267445564
40440732,75,False,0.0,0.0,0.0,0.0,0.0,0.0
40440909,76,True,0.010365301370620727,0.029890358448028564,0.011233866214752197,0.002608776092529297,0.005637556314468384,0.0024559497833251953
40441036,77,True,0.005215385556221008,0.011320050805807114,0.018039483577013016,-0.0005570873618125916,-0.00155726820230484,-0.0011682510375976562
40442283,78,True,0.008924270421266556,-0.012796655297279358,0.018600501120090485,0.008488476276397705,0.011356472969055176,0.01897255703806877
40442821,79,False,0.0,0.0,0.0,0.0,0.0,0.0
40446006,80,False,0.0,0.0,0.0,0.0,0.0,0.0
40448056,81,False,0.0,0.0,0.0,0.0,0.0,0.0
40448057,82,False,0.0,0.0,0.0,0.0,0.0,0.0
40449759,83,False,0.0,0.0,0.0,0.0,0.0,0.0
40450024,84,True,0.0437391247600317,-0.06183832697570324,0.007708907127380371,0.08512802794575691,0.0762113705277443,0.11148564517498016
40451118,85,False,0.0,0.0,0.0,0.0,0.0,0.0
40451421,86,True,0.018782440572977066,-0.0008862242102622986,0.018918374553322792,0.04007480666041374,0.03745611570775509,-0.0016508698463439941
40451711,87,True,-0.18365596532821654,-0.7696422934532166,0.26227784156799316,0.34279537200927734,-0.1984783411026001,-0.5552324056625366
40451839,88,True,0.01419876515865326,0.018061399459838867,0.021140307188034058,-0.00577235221862793,0.02818901836872101,0.009375452995300293
40453759,89,False,0.0,0.0,0.0,0.0,0.0,0.0
40453871,90,True,0.0011885583400726319,-0.008294064551591873,0.013275042176246643,-0.0026743821799755096,-0.0010058507323265076,0.0046420469880104065
40453904,91,True,-0.0025695547461509704,-0.02407897263765335,0.0095490962266922,0.009589016437530518,-0.006911039352416992,-0.0009958744049072266
40453907,92,True,0.004663996398448944,0.01925250142812729,0.008943058550357819,-0.013330459594726562,0.008594535291194916,-0.00013965368270874023
40454032,93,False,0.0,0.0,0.0,0.0,0.0,0.0
40454321,94,False,0.0,0.0,0.0,0.0,0.0,0.0
40455355,95,False,0.0,0.0,0.0,0.0,0.0,0.0
40457018,96,True,0.06508981012739241,0.056705137714743614,0.047785043716430664,0.04339856025762856,0.0820416621863842,0.09551864676177502
40457408,97,True,0.0005337059497833252,-0.017700523138046265,0.025448262691497803,0.019499987363815308,0.0007006227970123291,-0.02527981996536255
40457981,98,True,0.02311994433403015,0.03932049870491028,0.030988097190856934,0.013600468635559082,0.015943080186843872,0.01574757695198059
40459529,99,True,0.04127520583570003,0.024281755089759827,0.022783935070037842,0.07017527148127556,0.031643807888031006,0.05749125964939594
40459530,100,False,0.0,0.0,0.0,0.0,0.0,0.0
40459859,101,False,0.0,0.0,0.0,0.0,0.0,0.0
40459983,102,False,0.0,0.0,0.0,0.0,0.0,0.0
40460990,103,True,0.00984390676021576,0.011784672737121582,-0.0012980401515960693,0.011390477418899536,0.0007935613393783569,0.02654886245727539
40461133,104,True,0.009220761060714722,0.02136048674583435,-0.014236003160476685,0.02855581045150757,0.00045999884605407715,0.009963512420654297
40461415,105,True,0.019110801815986633,0.04175250232219696,-0.002055346965789795,0.006540954113006592,0.010670974850654602,0.03864492475986481
40463024,106,False,0.0,0.0,0.0,0.0,0.0,0.0
40463432,107,False,0.0,0.0,0.0,0.0,0.0,0.0
40464377,108,True,0.018075929302722216,-0.044290777295827866,0.051786839962005615,0.019719362258911133,0.05250240117311478,0.01066182041540742
40465133,109,True,-0.02438522092998028,0.25119589269161224,-0.2395676877349615,0.06069907546043396,-0.20939239859580994,0.015139013528823853
40465134,110,True,0.028946179151535033,0.02262777090072632,0.018377095460891724,0.031186282634735107,-0.002241075038909912,0.07478082180023193
40465870,111,False,0.0,0.0,0.0,0.0,0.0,0.0
40466757,112,False,0.0,0.0,0.0,0.0,0.0,0.0
40467388,113,False,0.0,0.0,0.0,0.0,0.0,0.0
40467389,114,False,0.0,0.0,0.0,0.0,0.0,0.0
40469335,115,False,0.0,0.0,0.0,0.0,0.0,0.0
40469781,116,False,0.0,0.0,0.0,0.0,0.0,0.0
40469915,117,False,0.0,0.0,0.0,0.0,0.0,0.0
40470524,118,True,0.009815004467964173,-0.011252492666244507,-0.14048367738723755,0.15431493520736694,-0.07864123582839966,0.12513749301433563
40470675,119,True,0.251025852560997,0.011508941650390625,0.20075049996376038,0.03352039307355881,0.520269550383091,0.48907987773418427
40471915,120,False,0.0,0.0,0.0,0.0,0.0,0.0
40472194,121,True,1.1095692992210389,0.4945663809776306,1.6836072206497192,-0.14434266090393066,2.4117674827575684,1.1022480726242065
40472200,122,True,0.006611621379852295,0.004033088684082031,0.01190882921218872,0.00685708224773407,0.014686793088912964,-0.004427686333656311
40472341,123,True,1.5181516408920288,0.3583338260650635,2.621395230293274,0.03278923034667969,3.363975763320923,1.214264154434204
40473646,124,True,0.04650390446186066,0.031057320535182953,0.054862700402736664,0.02540092170238495,0.07136096805334091,0.049837611615657806
40474207,125,True,0.04652045071125031,0.004943648353219032,0.09133231826126575,0.036169013008475304,0.0836198665201664,0.016537407413125038
40474208,126,False,0.0,0.0,0.0,0.0,0.0,0.0
40474225,127,False,0.0,0.0,0.0,0.0,0.0,0.0
40476999,128,False,0.0,0.0,0.0,0.0,0.0,0.0
40477447,129,False,0.0,0.0,0.0,0.0,0.0,0.0
40477622,130,True,0.003743886825395748,-0.03878909349441528,0.010612726211547852,0.03909732899046503,-0.01229880191385746,0.0200972743332386
40479406,131,True,0.0779864426702261,0.10090810060501099,0.08243004605174065,0.03354133665561676,0.08958282321691513,0.08346990682184696
40480541,132,True,0.09484656751155854,0.02197590470314026,0.059037938714027405,0.11566203832626343,0.11455696821212769,0.1629999876022339
40480992,133,False,0.0,0.0,0.0,0.0,0.0,0.0
40480997,134,False,0.0,0.0,0.0,0.0,0.0,0.0
40481285,135,True,0.009918875247240066,-0.7948164157569408,0.3161078989505768,0.3793710470199585,0.42729438841342926,-0.27836254239082336
40482280,136,True,0.1958322271704674,0.14563250541687012,0.32170140743255615,0.03260568529367447,0.31609268486499786,0.16312885284423828
40483618,137,False,0.0,0.0,0.0,0.0,0.0,0.0
40483627,138,False,0.0,0.0,0.0,0.0,0.0,0.0
40483630,139,True,0.013771581742912532,0.03879167512059212,0.02461417391896248,-0.016817729454487562,0.023051820695400238,-0.0007820315659046173
40483898,140,True,0.0024754732847213747,0.0077436864376068115,-0.0005955398082733154,-0.00025522708892822266,-0.0017578452825546265,0.007242292165756226
40484033,141,True,0.23775334358215333,-1.0535061359405518,-0.6840786933898926,-0.2700462341308594,1.6206209659576416,1.5757768154144287
40486278,142,False,0.0,0.0,0.0,0.0,0.0,0.0
40486636,143,True,1.018716025352478,1.0896494388580322,-1.5041024684906006,0.4716290235519409,3.0190670490264893,2.0173370838165283
40487102,144,False,0.0,0.0,0.0,0.0,0.0,0.0
40487411,145,False,0.0,0.0,0.0,0.0,0.0,0.0
40489269,146,False,0.0,0.0,0.0,0.0,0.0,0.0
40489415,147,False,0.0,0.0,0.0,0.0,0.0,0.0
40489548,148,False,0.0,0.0,0.0,0.0,0.0,0.0
40489701,149,True,-0.04338613748550415,0.10686537623405457,-0.3718394935131073,0.04706662893295288,0.07384157180786133,-0.07286477088928223
40490097,150,False,0.0,0.0,0.0,0.0,0.0,0.0
40490760,151,True,-0.0033607780933380127,0.017841994762420654,-0.006616085767745972,-0.003356248140335083,-0.004197597503662109,-0.020475953817367554
40490928,152,False,0.0,0.0,0.0,0.0,0.0,0.0
40491220,153,False,0.0,0.0,0.0,0.0,0.0,0.0
40491368,154,True,0.025674109160900117,-0.003883257508277893,0.031813204288482666,0.00622713565826416,0.0037885308265686035,0.09042493253946304
40491384,155,False,0.0,0.0,0.0,0.0,0.0,0.0
40492016,156,True,-0.6596267282962799,-1.7342703342437744,-0.7279804646968842,0.060763388872146606,-0.05317854881286621,-0.8434676826000214
40494176,157,False,0.0,0.0,0.0,0.0,0.0,0.0
40496325,158,False,0.0,0.0,0.0,0.0,0.0,0.0
40496328,159,True,0.0060615062713623045,0.010207951068878174,0.0014421939849853516,0.004423767328262329,0.005322784185409546,0.008910834789276123
40498224,160,False,0.0,0.0,0.0,0.0,0.0,0.0
40498804,161,False,0.0,0.0,0.0,0.0,0.0,0.0
40500728,162,True,-0.0047538034617900845,-0.009189426898956299,0.005846619606018066,-0.00012797117233276367,-0.011989809572696686,-0.008308429270982742
40500900,163,False,0.0,0.0,0.0,0.0,0.0,0.0
40502099,164,False,0.0,0.0,0.0,0.0,0.0,0.0
40502109,165,False,0.0,0.0,0.0,0.0,0.0,0.0
40502722,166,True,33.83514556884766,9.73678207397461,51.66535186767578,14.68056869506836,93.26801300048828,-0.17498779296875
40503510,167,False,0.0,0.0,0.0,0.0,0.0,0.0
40508926,168,False,0.0,0.0,0.0,0.0,0.0,0.0
